Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Stock Movement Report,IVR_CA,T,,ivr_ca.aon,IVR.CA,BJ-BP,P(A/B),Y,Y,IVR.CB;ca and cb converted to ivr_stkmovemt and ivr_stkmovemt.o1. Select Form built. SL.
Reorder & Shortage Report,IVR_DA,T,,ivr_da.aon,IVR.DA,BJ-BP,P(A/B),Y,Y,IVR.DB
Turns Report,IVR_KA,T,,ivr_ka.aon,IVR.KA,BJ-BP,P(A/B),Y,Y,IVR.KB
Yesterday's Zero Balance Report,IVR_ZA,T,,ivr_za.aon,IVR.ZA,BJ-BP,P(A/B),Y,Y,IVR.ZB
Transaction History Listing,IVR_TRANSHIST,T,IVR_TRANSHIST,,IVR.QA,,,,,
LIFO/FIFO Tier Report,IVR_LIFOFIFO,T,IVR_LIFOFIFO,,IVR.XA,,,,,
Synonyms Listing,IVR_SYNONYMS,T,IVR_SYNONYMS,,IVR.SA,BJ-BP,P(A/B),Y,Y,IVR.SB;sa/sb converted to ivr_itemsyn and ivr_itemsyn_o1; modified to use alt key on ivm-14 rather than ivm-24 xref. Select Form built.CH
Alternate/Superceded Items Listing,IVR_2A,T,,ivr_2a.aon,IVR.2A,BJ-BP,P,Y,Y,IVR.2B
Inventory Description Listing,IVR_ITEMDESC,T,IVR_ITEMDESC,,IVR.TA,BJ-BP,P,Y,Y,"IVR.TB; found select screen, so maybe someone did this in the past; I created ivr_itemdesc from ivr_ta, and ivr_itemdesc_o1 from ivr_tb. CH."
Item Detail Listing,IVR_RA,T,,ivr_ra.aon,IVR.RA,BJ-BP,P,Y,Y,IVR.RB
Item Labels,IVR_1A,T,,ivr_1a.aon,IVR.1A,BJ-BP,P,Y,,IVR.1B;1a/1b converted to ivr_itemlabels and ivr_itemlabels_o1; Select Form built. CH.
Lotted/Serialized Inventory,IVMENU_LOTS,G,,,,,,,,
History By Item Inquiry,IVM_FA,T,,ivm_fa.aon,IVM.FA,,,,,
History By Customer Inquiry,IVM_IA,T,,ivm_ia.aon,IVM.IA,,,,,
History By Vendor Inquiry,IVM_JA,T,,ivm_ja.aon,IVM.JA,,,,,
History By Item Report,IVR_LSTRANHIST,T,IVR_LSTRANHIST,,IVR.7A,,,,,
History By Customer Report,IVR_9A,T,,ivr_9a.aon,IVR.9A,BJ-BP,P,Y,Y,IVR.9B
History By Vendor Report,IVR_8A,T,,ivr_8a.aon,IVR.8A,BJ-BP,P,Y,Y,IVR.8B
Stock Status Report,IVR_YA,T,,ivr_ya.aon,IVR.YA,BJ-BP,P,Y,Y,IVR.YB
Activity Report,IVR_6A,T,,ivr_6a.aon,IVR.6A,BJ-BP,P,Y,Y,IVR.6B
Period End Processing,IVMENU_PEND,G,,,,,,,,
A B C Analysis Report,IVR_PA,T,,ivr_pa.aon,IVR.PA,BJ-BP,P,Y,Y,"IVR.PB,IVR.PC"
"EOQ, Order Point & Safety Stock Report",IVR_OA,T,,ivr_oa.aon,IVR.OA,BJ-BP,P,Y,Y,"IVR.OB,IVR.OC"
Inventory Valuation Report,IVR_NA,T,,ivr_na.aon,IVR.NA,BJ-BP,P,Y,Y,IVR.NB
Purge Inventory Transaction History,IVU_TA,T,,ivu_ta.aon,IVU.TA,BJ-BP,P,Y,,
Purge Inventory Activity,IVU_BA,T,,ivu_ba.aon,IVU.BA,BJ-BP,P,Y,,
Purge Closed Lot/Serial Numbers,IVU_EA,T,,ivu_ea.aon,IVU.EA,BJ-BP,P,Y,,
Purge Lot/Serial Transaction History,IVU_HA,T,,ivu_ha.aon,IVU.HA,BJ-BP,P,Y,,
Purge Lot/Serial Activity,IVU_IA,T,,ivu_ia.aon,IVU.IA,BJ-BP,P,Y,,
Period End Update,IVU_CA,T,,ivu_ca.aon,IVU.CA,BJ-BP,P,Y,,
Maintenance,IVMENU_MAINT,G,,,,,,,,
Inventory Items,IVM_ITEMMAST,T,IVM_ITEMMAST,,IVM.MA,CH,Y,,,
Product Types,IVC_PRODCODE,T,IVC_PRODCODE,,IVM.AA,NL/CLT,P,,,CLT
Transaction Codes,IVC_TRANCODE,T,IVC_TRANCODE,,IVM.BA,NL,Y,,,
Buyer Codes,IVC_BUYCODE,T,IVC_BUYCODE,,IVM.EA,NL/CLT,P,,,CLT
